lang,count_eval,prior
AR,406,1.6328981201651
BG,795,1.3588468295432
CH,1019,1.02731881766304
CR,519,1.61133559916317
CZ,1254,1.05135416968333
FR,1048,1.02590650366917
GE,902,1.20117076065538
JA,1254,0.517258845130225
KO,890,1.21176058452098
PL,983,1.35238326239172
PO,721,1.18061324651728
RU,1175,1.28276362779228
SP,630,1.47719046261359
SW,1140,1.12389029513527
TA,261,1.38118509695745
TH,1580,0.882677502937729
TU,641,1.44823689101019
VN,1740,0.753352233216995
WU,210,1.42127175719872
