max-steps,normaliser,mix-up,acc,c_prim
100,0.01,250,0.891,0.146
100,0.01,300,0.889,0.148
120,0,19,0.877,0.159
120,0,50,0.878,0.164
120,0,100,0.883,0.156
120,0,150,0.884,0.155
120,0,200,0.882,0.156
120,0,250,0.880,0.158
120,0,300,0.875,0.164
120,0.00001,19,0.876,0.162
120,0.00001,50,0.879,0.159
120,0.00001,100,0.880,0.159
120,0.00001,150,0.886,0.149
120,0.00001,200,0.876,0.160
120,0.00001,250,0.869,0.170
120,0.00001,300,0.863,0.178
120,0.0001,19,0.890,0.144
120,0.0001,50,0.887,0.147
120,0.0001,100,0.881,0.154
120,0.0001,150,0.881,0.155
120,0.0001,200,0.881,0.154
120,0.0001,250,0.878,0.160
120,0.0001,300,0.876,0.161
120,0.001,19,0.894,0.140
120,0.001,50,0.895,0.138
120,0.001,100,0.896,0.137
120,0.001,150,0.894,0.139
120,0.001,200,0.893,0.141
120,0.001,250,0.895,0.138
120,0.001,300,0.893,0.140
120,0.01,19,0.890,0.147
120,0.01,50,0.890,0.147
120,0.01,100,0.890,0.148
120,0.01,150,0.890,0.147
120,0.01,200,0.890,0.148
120,0.01,250,0.891,0.147
120,0.01,300,0.890,0.148
140,0,19,0.872,0.164
140,0,50,0.883,0.159
140,0,100,0.881,0.157
140,0,150,0.880,0.158
140,0,200,0.880,0.158
140,0,250,0.881,0.158
140,0,300,0.876,0.165
140,0.00001,19,0.879,0.157
140,0.00001,50,0.883,0.154
140,0.00001,100,0.872,0.165
140,0.00001,150,0.876,0.160
140,0.00001,200,0.870,0.169
140,0.00001,250,0.875,0.164
140,0.00001,300,0.879,0.159
140,0.0001,19,0.886,0.149
140,0.0001,50,0.887,0.148
140,0.0001,100,0.883,0.151
140,0.0001,150,0.889,0.146
140,0.0001,200,0.883,0.154
140,0.0001,250,0.876,0.157
140,0.0001,300,0.872,0.165
140,0.001,19,0.895,0.138
140,0.001,50,0.895,0.138
140,0.001,100,0.895,0.138
140,0.001,150,0.894,0.139
140,0.001,200,0.890,0.144
140,0.001,250,0.896,0.138
140,0.001,300,0.894,0.140
140,0.01,19,0.890,0.147
140,0.01,50,0.890,0.147
140,0.01,100,0.890,0.148
140,0.01,150,0.890,0.147
140,0.01,200,0.890,0.148
140,0.01,250,0.890,0.147
140,0.01,300,0.890,0.148
160,0,19,0.870,0.170
160,0,50,0.879,0.159
160,0,100,0.879,0.160
160,0,150,0.880,0.158
160,0,200,0.883,0.156
160,0,250,0.871,0.167
160,0,300,0.885,0.151
160,0.00001,19,0.877,0.160
160,0.00001,50,0.883,0.152
